INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
Abilene Christian University,Abilene,TX,79699,2,0.5806,1145,33330,33330,3655,6,0
Angelo State University,San Angelo,TX,76909,1,0.7359,1003,7201,17161,5726,6,9960
Austin College,Sherman,TX,75090-4400,2,0.5216,1255,38800,38800,1214,6,0
Baylor University,Waco,TX,76798,2,0.3895,1320,43790,43790,14284,6,0
Concordia University Texas,Austin,TX,78726,2,0.8878,1063,30600,30600,1703,6,0
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,1,0.6046,983,8750,18925,10170,6,10175
Dallas Baptist University,Dallas,TX,75211-9299,2,0.3942,1122,27480,27480,3053,6,0
Dallas Christian College,Dallas,TX,75234-7299,2,0.4009,1026,18734,18734,228,6,0
University of Dallas,Irving,TX,75062-4736,2,0.4745,1278,38716,38716,1440,6,0
East Texas Baptist University,Marshall,TX,75670-1498,2,0.5442,1045,25470,25470,1298,6,0
Texas A&M University-Texarkana,Texarkana,TX,75503,1,0.5385,1071,6963,18375,1593,6,11412
Texas A & M University-Commerce,Commerce,TX,75428-3011,1,0.3454,1050,8434,20884,8473,6,12450
Hardin-Simmons University,Abilene,TX,79698-0001,2,0.8177,1074,27440,27440,1670,6,0
Houston Baptist University,Houston,TX,77074-3298,2,0.6901,1114,31730,31730,2302,6,0
University of Houston-Clear Lake,Houston,TX,77058-1002,1,0.7225,1119,6718,19270,5781,6,12552
University of Houston-Downtown,Houston,TX,77002-1014,1,0.8408,997,6470,16430,12310,6,9960
University of Houston,Houston,TX,77204-2018,1,0.6111,1202,9706,22066,35985,6,12360
Howard Payne University,Brownwood,TX,76801-2794,2,0.5917,1036,27690,27690,919,6,0
Huston-Tillotson University,Austin,TX,78702-2795,2,0.2981,947,14346,14346,1052,6,0
